Country,Maximum Latitude,Minimum Latitude,Maximum Longitude,Minimum Longitude
Romania,48.3,43.6,29.7,20.2
Russia,81.8,41.2,180.0,19.6
Rwanda,-1.1,-2.8,30.9,28.6
Saint Kitts and Nevis,17.4,17.0,-62.5,-63.1
Saint Lucia,14.1,13.5,-60.9,-61.2
Saint Vincent and the Grenadines,13.4,12.5,-61.1,-61.6
Samoa,-13.4,-14.1,-168.1,-172.8
San Marino,43.9,43.9,12.5,12.4
Sao Tome and Principe,1.5,0.0,7.6,6.4
Saudi Arabia,32.2,16.6,55.7,34.5
Senegal,16.7,12.3,-11.3,-17.5
Serbia,46.2,41.9,23.0,18.8
Seychelles,-4.2,-10.5,56.3,46.2
Sierra Leone,9.8,6.9,-10.3,-13.3
Singapore,1.5,1.2,104.0,103.6
Slovakia,49.6,47.7,22.6,16.8
Slovenia,46.9,45.4,16.6,13.4
Solomon Islands,-6.5,-11.9,166.9,155.5
Somalia,11.9,-1.7,51.4,40.9
South Africa,-22.1,-34.8,37.0,16.5
South Korea,38.6,33.2,129.6,125.9
South Sudan,12.2,3.5,35.9,24.1
Spain,43.8,27.6,4.9,-18.2
Sri Lanka,9.8,5.9,81.9,79.5
Sudan,22.0,8.7,38.6,21.8
Suriname,6.0,1.8,-53.9,-58.1
Sweden,69.1,55.2,24.2,11.1
Switzerland,47.8,45.8,10.5,5.9
Syria,37.3,32.3,42.4,35.7
Taiwan,25.3,20.7,124.6,119.3
Tajikistan,41.0,36.7,75.2,67.4
Tanzania,-0.9,-11.7,40.4,29.3
Thailand,20.5,5.6,105.6,97.3
Timor-Leste,-8.1,-9.5,127.3,124.0
Togo,11.1,6.1,1.8,-0.2
Tonga,-15.4,-21.5,-173.9,-176.2
Trinidad and Tobago,11.3,9.8,-60.9,-61.9
Tunisia,37.5,30.2,11.6,7.5
Turkey,42.1,35.9,44.8,26.0
Turkmenistan,42.8,35.1,66.7,52.5
Tuvalu,-5.4,-8.6,179.9,176.1
Uganda,4.2,-1.5,35.0,29.6
Ukraine,52.4,44.1,40.2,22.1
United Arab Emirates,26.1,22.6,56.4,51.5
United Kingdom,60.9,49.9,1.8,-8.6
United States,71.5,18.9,-66.9,-179.1
Uruguay,-30.1,-35.0,-53.1,-58.5
Uzbekistan,45.6,37.2,73.1,55.9
Vanuatu,-13.1,-20.2,169.9,166.5
Vatican City,41.9,41.9,12.5,12.5
Venezuela,15.7,0.7,-59.8,-73.4
Vietnam,23.4,8.2,109.5,102.1
Yemen,18.0,12.1,54.5,41.6
Zambia,-8.2,-18.0,33.7,21.9
Zimbabwe,-15.6,-22.4,33.1,25.2
